Account_Ref,Name,Industry,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,True_Churn_Label,Num_Cases
ACC-0001,Vertex Analytics 1,Education,24,2389.39,53976.57,Month-to-Month,0,1
ACC-0002,Cloud Analytics 2,Technology,22,2124.42,42720.37,Month-to-Month,1,2
ACC-0003,Nova Ventures 3,Finance,8,2751.4,20727.52,Month-to-Month,1,4
ACC-0004,Vertex Analytics 4,Education,3,2019.49,5659.73,Month-to-Month,1,4
ACC-0005,Stratum Logistics 5,Education,6,2657.49,15126.05,One Year,1,3
ACC-0006,Nova Software 6,Healthcare,30,2774.89,78001.67,One Year,0,0
ACC-0007,Quantum Labs 7,Manufacturing,11,2989.34,34022.9,Month-to-Month,1,4
ACC-0008,Vertex Media 8,Finance,31,3150.02,99143.68,Month-to-Month,1,7
ACC-0009,Nexus Systems 9,Retail,15,2785.69,42406.91,Month-to-Month,0,2
ACC-0010,Pulse Software 10,Manufacturing,28,2076.19,60997.69,One Year,1,2
ACC-0011,Vertex Analytics 11,Healthcare,14,1329.19,16935.93,Month-to-Month,1,1
ACC-0012,Stratum Health 12,Education,22,4008.95,91753.63,One Year,1,6
ACC-0013,Stratum Systems 13,Technology,17,1565.06,26548.07,One Year,0,2
ACC-0014,Nova Ventures 14,Technology,8,1707.57,14313.48,Month-to-Month,1,3
ACC-0015,Synergy Analytics 15,Technology,9,3739.95,33243.07,One Year,1,6
ACC-0016,Vertex Analytics 16,Manufacturing,9,2917.55,26078.71,One Year,1,3
ACC-0017,Stratum Analytics 17,Education,22,1928.52,43384.84,Month-to-Month,1,5
ACC-0018,Quantum Health 18,Education,7,1788.39,12096.54,One Year,1,5
ACC-0019,Beacon Health 19,Healthcare,8,2885.98,23773.34,Two Year,0,4
ACC-0020,Nexus Tech 20,Finance,28,1792.91,51360.15,Two Year,0,2
ACC-0021,Stratum Tech 21,Technology,34,3343.04,104263.54,Two Year,0,5
ACC-0022,Vertex Tech 22,Retail,12,2111.71,23999.69,Two Year,0,2
ACC-0023,Cloud Health 23,Retail,13,3371.16,43183.73,Month-to-Month,1,3
ACC-0024,Vertex Software 24,Retail,19,879.89,16710.86,One Year,0,2
ACC-0025,Beacon Systems 25,Manufacturing,24,3192.6,73723.48,One Year,0,2
ACC-0026,Vertex Ventures 26,Healthcare,14,4197.72,54441.75,Two Year,1,4
ACC-0027,Nova Solutions 27,Manufacturing,9,2452.38,20722.39,Month-to-Month,1,4
ACC-0028,Stratum Solutions 28,Manufacturing,17,2659.25,41108.75,Two Year,0,0
ACC-0029,Cloud Labs 29,Education,19,3029.7,51976.52,Two Year,1,5
ACC-0030,Beacon Media 30,Technology,56,2028.51,117690.5,One Year,0,0
ACC-0031,Apex Systems 31,Education,31,2745.84,82081.53,Two Year,1,1
ACC-0032,Synergy Ventures 32,Finance,30,3522.13,107016.55,Two Year,1,0
ACC-0033,Quantum Systems 33,Manufacturing,15,3379.02,45764.14,One Year,1,3
ACC-0034,Beacon Logistics 34,Manufacturing,21,2759.33,58231.01,One Year,0,4
ACC-0035,Vertex Software 35,Education,18,1782.2,31760.78,Month-to-Month,0,3
ACC-0036,Nexus Health 36,Manufacturing,48,2123.17,94413.52,One Year,1,0
ACC-0037,Quantum Labs 37,Retail,6,1374.03,8377.7,One Year,1,0
ACC-0038,Beacon Software 38,Finance,39,3186.13,127708.13,Two Year,0,0
