Account_Ref,Case_Type,Priority,Is_Escalated,Days_To_Resolve,Status
ACC-0001,Feature Request,High,0,2,Closed
ACC-0002,Technical / Bug,Medium,0,1,Working
ACC-0002,Technical / Bug,Medium,1,4,Escalated
ACC-0003,Feature Request,Medium,1,2,Closed
ACC-0003,Billing,Low,1,0,Closed
ACC-0003,Billing,Low,0,8,Closed
ACC-0003,Technical / Bug,Medium,0,10,Closed
ACC-0004,Billing,Medium,1,3,Closed
ACC-0004,Technical / Bug,Medium,1,13,Closed
ACC-0004,Billing,Medium,0,1,Closed
ACC-0004,Billing,Low,0,2,Closed
ACC-0005,Billing,High,0,1,Closed
ACC-0005,Billing,Medium,0,0,Working
ACC-0005,Billing,High,0,5,Closed
ACC-0007,Billing,Medium,0,2,Closed
ACC-0007,Billing,High,1,4,Working
ACC-0007,Technical / Bug,Medium,1,0,New
ACC-0007,Technical / Bug,High,0,1,Closed
ACC-0008,Billing,Low,1,6,Working
ACC-0008,Feature Request,Medium,0,0,Closed
ACC-0008,Billing,High,0,0,Closed
ACC-0008,Billing,Medium,1,0,New
ACC-0008,Performance / Latency,Medium,0,3,Closed
ACC-0008,Billing,Critical,1,4,Working
ACC-0008,Billing,High,1,8,Closed
ACC-0009,Technical / Bug,Low,0,4,Escalated
ACC-0009,Technical / Bug,Medium,0,3,Working
ACC-0010,Technical / Bug,Low,0,1,Closed
ACC-0010,Billing,Low,0,0,Closed
ACC-0011,Billing,Low,0,8,Closed
ACC-0012,Technical / Bug,High,0,2,Closed
ACC-0012,Billing,High,1,8,Closed
ACC-0012,Feature Request,Critical,0,0,Closed
ACC-0012,Technical / Bug,Critical,1,3,Closed
ACC-0012,Billing,High,1,28,Closed
ACC-0012,Billing,Medium,0,0,Escalated
ACC-0013,Billing,High,1,12,Closed
ACC-0013,Technical / Bug,High,0,3,Escalated
ACC-0014,Feature Request,Medium,0,0,New
ACC-0014,Onboarding,Medium,0,3,Closed
ACC-0014,Billing,Medium,0,0,Closed
ACC-0015,Performance / Latency,Critical,1,3,Closed
ACC-0015,Billing,Medium,0,0,Closed
ACC-0015,Billing,Low,0,6,Closed
ACC-0015,Technical / Bug,High,1,27,Closed
ACC-0015,Performance / Latency,High,1,12,Closed
ACC-0015,Technical / Bug,Low,0,1,Closed
ACC-0016,Billing,Medium,0,6,Closed
ACC-0016,Billing,Medium,1,11,Closed
ACC-0016,Technical / Bug,Medium,0,0,New
ACC-0017,Feature Request,Low,0,3,Closed
ACC-0017,Billing,Low,0,5,Closed
ACC-0017,Feature Request,High,1,12,Closed
ACC-0017,Technical / Bug,High,0,2,Closed
ACC-0017,Technical / Bug,Low,1,1,Working
ACC-0018,Technical / Bug,Critical,1,8,Closed
ACC-0018,Billing,Medium,1,2,Closed
ACC-0018,Technical / Bug,Medium,1,15,Escalated
ACC-0018,Onboarding,Medium,1,3,Closed
ACC-0018,Feature Request,High,1,0,Escalated
ACC-0019,Performance / Latency,Low,0,1,Working
ACC-0019,Technical / Bug,High,0,0,Escalated
ACC-0019,Performance / Latency,Medium,0,2,Closed
ACC-0019,Performance / Latency,Low,0,8,Working
ACC-0020,Technical / Bug,Medium,0,6,Closed
ACC-0020,Billing,Medium,0,4,Closed
ACC-0021,Technical / Bug,Low,0,3,Closed
ACC-0021,Technical / Bug,Medium,0,4,Closed
ACC-0021,Feature Request,Medium,0,6,Closed
ACC-0021,Feature Request,Critical,1,4,Closed
ACC-0021,Feature Request,Medium,0,1,Closed
ACC-0022,Feature Request,Medium,0,0,Closed
ACC-0022,Technical / Bug,Low,0,0,Closed
ACC-0023,Performance / Latency,Medium,1,9,Working
ACC-0023,Technical / Bug,High,1,12,Closed
ACC-0023,Technical / Bug,High,0,3,Working
ACC-0024,Billing,Low,0,0,Closed
ACC-0024,Performance / Latency,Low,0,9,New
ACC-0025,Technical / Bug,Medium,0,0,Closed
ACC-0025,Feature Request,High,1,37,Working
ACC-0026,Technical / Bug,Medium,1,0,Working
ACC-0026,Technical / Bug,Medium,0,0,New
ACC-0026,Technical / Bug,High,0,5,Closed
ACC-0026,Feature Request,High,0,3,Closed
ACC-0027,Technical / Bug,Medium,0,2,Closed
ACC-0027,Billing,Medium,1,8,Closed
ACC-0027,Billing,Low,0,5,Closed
ACC-0027,Feature Request,Low,0,3,Closed
ACC-0029,Technical / Bug,High,0,0,Closed
ACC-0029,Technical / Bug,High,0,0,Closed
ACC-0029,Feature Request,High,0,0,Closed
ACC-0029,Billing,Medium,0,3,Closed
ACC-0029,Feature Request,High,0,0,Escalated
ACC-0031,Billing,Medium,1,55,Closed
ACC-0033,Onboarding,High,1,5,Working
ACC-0033,Feature Request,High,0,0,Closed
ACC-0033,Billing,Medium,1,28,Closed
ACC-0034,Technical / Bug,Medium,0,3,Closed
ACC-0034,Performance / Latency,Low,0,4,Closed
ACC-0034,Technical / Bug,High,0,4,Closed
ACC-0034,Feature Request,High,1,18,Closed
ACC-0035,Onboarding,Medium,0,2,Closed
ACC-0035,Technical / Bug,Medium,0,0,Working
ACC-0035,Performance / Latency,High,0,0,Closed
ACC-0039,Technical / Bug,Low,1,3,Escalated
ACC-0039,Billing,High,1,39,Closed
ACC-0039,Performance / Latency,Low,0,0,Closed
ACC-0041,Billing,High,1,26,Closed
ACC-0041,Feature Request,High,1,7,Closed
ACC-0041,Onboarding,Medium,0,2,Closed
ACC-0041,Billing,High,1,3,Closed
ACC-0042,Feature Request,Medium,0,12,Closed
ACC-0043,Billing,Low,0,1,New
ACC-0043,Technical / Bug,Low,0,4,Escalated
ACC-0043,Technical / Bug,Medium,0,13,Closed
ACC-0043,Technical / Bug,Low,1,1,Escalated
ACC-0043,Technical / Bug,Medium,0,2,Closed
ACC-0043,Technical / Bug,Medium,1,5,Closed
ACC-0043,Billing,Low,0,10,Working
ACC-0043,Technical / Bug,Low,0,5,Closed
ACC-0043,Technical / Bug,Critical,1,21,New
ACC-0046,Technical / Bug,Medium,0,2,Closed
ACC-0046,Billing,Critical,1,22,Closed
ACC-0046,Billing,High,1,9,Closed
ACC-0046,Performance / Latency,Medium,1,9,Closed
ACC-0047,Billing,Medium,0,2,Closed
ACC-0047,Billing,Medium,0,1,Escalated
