Account_Ref,Name,Industry,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,True_Churn_Label,Num_Cases,Total_Cases,Escalated_Cases,Avg_Days_To_Resolve,Critical_Cases,High_Cases,Escalation_Rate,Avg_Monthly_Case_Load,Est_Annual_Value,Predicted_Churn_Prob,Predicted_Risk_Level,Top_Churn_Driver
ACC-0001,Vertex Analytics 1,Education,24,2389.39,53976.57,Month-to-Month,0,1,1,0,2.0,0,1,0.0,0.042,28672.68,0.25,Low,Elevated Contract Type One Year
ACC-0002,Cloud Analytics 2,Technology,22,2124.42,42720.37,Month-to-Month,1,2,2,1,2.5,0,0,0.5,0.091,25493.04,0.88,High,Elevated Escalation Rate
ACC-0003,Nova Ventures 3,Finance,8,2751.4,20727.52,Month-to-Month,1,4,4,2,5.0,0,0,0.5,0.5,33016.8,0.99,High,Elevated Escalated Cases
ACC-0004,Vertex Analytics 4,Education,3,2019.49,5659.73,Month-to-Month,1,4,4,2,4.75,0,0,0.5,1.333,24233.88,1.0,High,Elevated Escalated Cases
ACC-0005,Stratum Logistics 5,Education,6,2657.49,15126.05,One Year,1,3,3,0,2.0,0,2,0.0,0.5,31889.88,0.76,High,Elevated Tenure Months
ACC-0006,Nova Software 6,Healthcare,30,2774.89,78001.67,One Year,0,0,0,0,0.0,0,0,0.0,0.0,33298.68,0.21,Low,Elevated Industry Healthcare
ACC-0007,Quantum Labs 7,Manufacturing,11,2989.34,34022.9,Month-to-Month,1,4,4,2,1.75,0,2,0.5,0.364,35872.08,0.99,High,Elevated Escalated Cases
ACC-0008,Vertex Media 8,Finance,31,3150.02,99143.68,Month-to-Month,1,7,7,4,3.0,1,2,0.571,0.226,37800.24,0.99,High,Elevated Escalated Cases
ACC-0009,Nexus Systems 9,Retail,15,2785.69,42406.91,Month-to-Month,0,2,2,0,3.5,0,0,0.0,0.133,33428.28,0.66,Medium,Elevated Contract Type One Year
ACC-0010,Pulse Software 10,Manufacturing,28,2076.19,60997.69,One Year,1,2,2,0,0.5,0,0,0.0,0.071,24914.28,0.33,Low,Elevated Avg Days To Resolve
ACC-0011,Vertex Analytics 11,Healthcare,14,1329.19,16935.93,Month-to-Month,1,1,1,0,8.0,0,0,0.0,0.071,15950.28,0.87,High,Elevated Avg Days To Resolve
ACC-0012,Stratum Health 12,Education,22,4008.95,91753.63,One Year,1,6,6,3,6.83,2,3,0.5,0.273,48107.4,0.99,High,Elevated Escalated Cases
ACC-0013,Stratum Systems 13,Technology,17,1565.06,26548.07,One Year,0,2,2,1,7.5,0,2,0.5,0.118,18780.72,0.41,Medium,Elevated Escalation Rate
ACC-0014,Nova Ventures 14,Technology,8,1707.57,14313.48,Month-to-Month,1,3,3,0,1.0,0,0,0.0,0.375,20490.84,0.68,Medium,Elevated Tenure Months
ACC-0015,Synergy Analytics 15,Technology,9,3739.95,33243.07,One Year,1,6,6,3,8.17,1,2,0.5,0.667,44879.4,0.99,High,Elevated Escalated Cases
ACC-0016,Vertex Analytics 16,Manufacturing,9,2917.55,26078.71,One Year,1,3,3,1,5.67,0,0,0.333,0.333,35010.6,0.91,High,Elevated Escalation Rate
ACC-0017,Stratum Analytics 17,Education,22,1928.52,43384.84,Month-to-Month,1,5,5,2,4.6,0,2,0.4,0.227,23142.24,0.99,High,Elevated Escalated Cases
ACC-0018,Quantum Health 18,Education,7,1788.39,12096.54,One Year,1,5,5,5,5.6,1,1,1.0,0.714,21460.68,0.99,High,Elevated Escalated Cases
ACC-0019,Beacon Health 19,Healthcare,8,2885.98,23773.34,Two Year,0,4,4,0,2.75,0,1,0.0,0.5,34631.76,0.13,Low,Elevated Contract Type One Year
ACC-0020,Nexus Tech 20,Finance,28,1792.91,51360.15,Two Year,0,2,2,0,5.0,0,0,0.0,0.071,21514.92,0.05,Low,Elevated Contract Type One Year
ACC-0021,Stratum Tech 21,Technology,34,3343.04,104263.54,Two Year,0,5,5,1,3.6,1,0,0.2,0.147,40116.48,0.24,Low,Elevated Monthly Charges
ACC-0022,Vertex Tech 22,Retail,12,2111.71,23999.69,Two Year,0,2,2,0,0.0,0,0,0.0,0.167,25340.52,0.1,Low,Elevated Industry Retail
ACC-0023,Cloud Health 23,Retail,13,3371.16,43183.73,Month-to-Month,1,3,3,2,8.0,0,2,0.667,0.231,40453.92,1.0,High,Elevated Escalated Cases
ACC-0024,Vertex Software 24,Retail,19,879.89,16710.86,One Year,0,2,2,0,4.5,0,0,0.0,0.105,10558.68,0.22,Low,Elevated Industry Retail
ACC-0025,Beacon Systems 25,Manufacturing,24,3192.6,73723.48,One Year,0,2,2,1,18.5,0,1,0.5,0.083,38311.2,0.33,Low,Elevated Escalation Rate
ACC-0026,Vertex Ventures 26,Healthcare,14,4197.72,54441.75,Two Year,1,4,4,1,2.0,0,2,0.25,0.286,50372.64,0.97,High,Elevated Monthly Charges
ACC-0027,Nova Solutions 27,Manufacturing,9,2452.38,20722.39,Month-to-Month,1,4,4,1,4.5,0,0,0.25,0.444,29428.56,0.96,High,Elevated Escalated Cases
ACC-0028,Stratum Solutions 28,Manufacturing,17,2659.25,41108.75,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,31911.0,0.09,Low,Elevated Contract Type One Year
ACC-0029,Cloud Labs 29,Education,19,3029.7,51976.52,Two Year,1,5,5,0,0.6,0,4,0.0,0.263,36356.4,0.84,High,Elevated High Cases
